Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,HouseID,DaySold,MonthSold,YearSold,Schools nearby
3.0,0,1195000.0,3,2.5,3067.0,3.0,2.0,1.0,-0.3529668412984005,31,2,-0.7868257359112617,60,27,11,2016,2
2.0,0,1012500.0,1,2.5,3067.0,2.0,1.0,0.0,-0.3017717555292263,31,2,-0.7868257359112617,62,28,5,2016,2
2.0,0,1030000.0,1,2.5,3067.0,2.0,1.0,1.0,-0.31002902742748023,31,2,-0.7868257359112617,64,30,7,2016,2
3.0,1,840000.0,0,13.5,3042.0,3.0,2.0,1.0,-0.20185876556035418,22,6,-0.9130142360633952,67,3,9,2016,4
3.0,0,730000.0,4,13.5,3042.0,3.0,2.0,1.0,-0.4520541040774472,22,6,-0.9130142360633952,68,3,12,2016,4
3.0,0,770000.0,3,13.5,3042.0,3.0,2.0,1.0,-0.4520541040774472,22,6,-0.9130142360633952,69,4,3,2017,4
2.0,0,603000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.22745630844494125,22,6,-0.9130142360633952,71,4,3,2017,4
3.0,1,700000.0,1,13.5,3042.0,3.0,2.0,2.0,-0.2547053057091791,22,6,-0.9130142360633952,72,4,3,2017,4
3.0,0,600000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.21259321902808423,22,6,-0.9130142360633952,73,4,3,2017,4
2.0,2,500000.0,4,13.5,3042.0,2.0,1.0,1.0,-0.3133319361867818,22,6,-0.9130142360633952,74,4,3,2017,4
3.0,0,720000.0,1,13.5,3042.0,2.0,1.0,1.0,0.059896753614294376,22,6,-0.9130142360633952,80,6,8,2016,4
4.0,0,785000.0,1,13.5,3042.0,3.0,1.0,2.0,0.04090502824831041,22,6,-0.9130142360633952,81,6,8,2016,4
6.0,0,725000.0,3,13.5,3042.0,6.0,3.0,2.0,0.3538556331921331,22,6,-0.9130142360633952,82,7,5,2016,4
2.0,1,450000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.3612241131966544,22,6,-0.9130142360633952,83,7,5,2016,4
2.0,2,515000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.3356265703120673,22,6,-0.9130142360633952,84,7,11,2016,4
2.0,2,530000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.3529668412984005,22,6,-0.9130142360633952,86,10,9,2016,4
3.0,0,895000.0,0,13.5,3042.0,3.0,1.0,6.0,0.425693898706942,22,6,-0.9130142360633952,87,10,9,2016,4
3.0,0,805000.0,1,13.5,3042.0,3.0,1.0,1.0,-0.4520541040774472,22,6,-0.9130142360633952,89,10,12,2016,4
3.0,2,752000.0,1,13.5,3042.0,3.0,1.0,1.0,-0.23323639877371896,22,6,-0.9130142360633952,91,11,2,2017,4
2.0,2,440000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.29351448363097243,22,6,-0.9130142360633952,95,13,8,2016,4
5.0,0,755000.0,0,13.5,3042.0,3.0,2.0,2.0,0.04007930105848502,22,6,-0.9130142360633952,97,14,5,2016,4
3.0,1,700000.0,0,13.5,3042.0,3.0,2.0,2.0,-0.3158091177562579,22,6,-0.9130142360633952,99,15,10,2016,4
3.0,0,830000.0,1,13.5,3042.0,3.0,1.0,2.0,0.34972699724300615,22,6,-0.9130142360633952,101,16,4,2016,4
2.0,2,462500.0,1,13.5,3042.0,2.0,1.0,1.0,-0.31663484494608335,22,6,-0.9130142360633952,102,16,7,2016,4
3.0,0,670000.0,3,13.5,3042.0,3.0,2.0,2.0,0.0904486596378338,22,6,-0.9130142360633952,103,16,7,2016,4
2.0,0,675000.0,1,13.5,3042.0,2.0,1.0,1.0,0.05329093609569126,22,6,-0.9130142360633952,104,16,7,2016,4
3.0,0,1042000.0,1,13.5,3042.0,3.0,2.0,5.0,0.05329093609569126,22,6,-0.9130142360633952,105,16,7,2016,4
3.0,0,910000.0,1,13.5,3042.0,3.0,1.0,1.0,0.18788446803722977,22,6,-0.9130142360633952,106,17,9,2016,4
4.0,0,773000.0,1,13.5,3042.0,5.0,3.0,4.0,-0.013592966280165309,22,6,-0.9130142360633952,107,17,9,2016,4
3.0,0,810000.0,0,13.5,3042.0,3.0,3.0,2.0,0.006224486275644044,22,6,-0.9130142360633952,109,18,3,2017,4
3.0,0,715000.0,1,13.5,3042.0,3.0,2.0,2.0,-0.10359722997113278,22,6,-0.9130142360633952,110,18,3,2017,4
3.0,0,790000.0,1,13.5,3042.0,3.0,1.0,3.0,0.05494239047534204,22,6,-0.9130142360633952,111,18,3,2017,4
3.0,1,540000.0,3,13.5,3042.0,2.0,2.0,1.0,-0.3191120265155595,22,6,-0.9130142360633952,113,18,6,2016,4
3.0,1,825000.0,3,13.5,3042.0,3.0,2.0,1.0,-0.21011603745860807,22,6,-0.9130142360633952,114,19,11,2016,4
3.0,0,685000.0,1,13.5,3042.0,3.0,1.0,1.0,0.026041938831453396,22,6,-0.9130142360633952,115,22,5,2016,4
3.0,0,805000.0,1,13.5,3042.0,3.0,1.0,1.0,0.062373935183770546,22,6,-0.9130142360633952,117,22,8,2016,4
2.0,2,510000.0,1,13.5,3042.0,2.0,1.0,1.0,-0.3356265703120673,22,6,-0.9130142360633952,118,22,8,2016,4
3.0,0,612000.0,1,13.5,3042.0,3.0,2.0,1.0,-0.27699993983446464,22,6,-0.9130142360633952,119,22,8,2016,4
3.0,0,662000.0,1,13.5,3042.0,3.0,1.0,2.0,0.05329093609569126,22,6,-0.9130142360633952,120,23,4,2016,4
4.0,0,978000.0,1,13.5,3042.0,4.0,3.0,2.0,-0.01276723909033992,22,6,-0.9130142360633952,121,24,9,2016,4
3.0,0,720000.0,0,13.5,3042.0,3.0,1.0,1.0,0.030996301970405735,22,6,-0.9130142360633952,123,25,2,2017,4
4.0,0,765000.0,1,13.5,3042.0,4.0,1.0,2.0,-0.03175896445632388,22,6,-0.9130142360633952,129,27,11,2016,4
4.0,0,900000.0,1,13.5,3042.0,4.0,2.0,3.0,0.0665025711328975,22,6,-0.9130142360633952,130,27,11,2016,4
2.0,0,1275000.0,1,3.3,3206.0,2.0,1.0,0.0,-0.3529668412984005,26,5,-0.9548497027804987,134,3,9,2016,3
2.0,0,1455000.0,1,3.3,3206.0,2.0,1.0,0.0,-0.3207634808952103,26,5,-0.9548497027804987,135,3,9,2016,3
3.0,0,2850000.0,0,3.3,3206.0,3.0,2.0,0.0,-0.27782566702429,26,5,-0.9548497027804987,136,4,3,2017,3
3.0,0,1850000.0,1,3.3,3206.0,3.0,2.0,0.0,-0.3463610237797974,26,5,-0.9548497027804987,137,4,3,2017,3
2.0,0,1436000.0,1,3.3,3206.0,2.0,1.0,0.0,-0.3447095694001466,26,5,-0.9548497027804987,139,4,3,2017,3
2.0,0,1110000.0,1,3.3,3206.0,1.0,1.0,0.0,-0.33067220717311496,26,5,-0.9548497027804987,141,6,8,2016,3
2.0,0,1550000.0,1,3.3,3206.0,2.0,1.0,1.0,-0.31415766337660717,26,5,-0.9548497027804987,142,7,5,2016,3
4.0,0,2300000.0,1,3.3,3206.0,4.0,2.0,1.0,-0.3257178440341626,26,5,-0.9548497027804987,143,7,5,2016,3
3.0,1,1550000.0,4,3.3,3206.0,3.0,2.0,2.0,0.14081801821718257,26,5,-0.9548497027804987,145,7,11,2016,3
3.0,0,1800000.0,4,3.3,3206.0,3.0,2.0,1.0,-0.3430581150204958,26,5,-0.9548497027804987,146,7,11,2016,3
2.0,0,2120000.0,1,3.3,3206.0,2.0,1.0,1.0,-0.2877343933021947,26,5,-0.9548497027804987,148,10,9,2016,3
3.0,0,1800000.0,4,3.3,3206.0,3.0,1.0,1.0,-0.24314512505162364,26,5,-0.9548497027804987,149,10,9,2016,3
3.0,0,1800000.0,1,3.3,3206.0,3.0,2.0,1.0,-0.37773865699316217,26,5,-0.9548497027804987,150,10,9,2016,3
2.0,0,1810000.0,0,3.3,3206.0,2.0,1.0,0.0,-0.2538795785193537,26,5,-0.9548497027804987,152,10,12,2016,3
3.0,0,2615000.0,1,3.3,3206.0,3.0,2.0,1.0,-0.30590039147835324,26,5,-0.9548497027804987,153,10,12,2016,3
5.0,0,2100000.0,1,3.3,3206.0,5.0,2.0,1.0,-0.2563567600888299,26,5,-0.9548497027804987,154,10,12,2016,3
3.0,0,1300000.0,1,3.3,3206.0,3.0,1.0,0.0,-0.34553529658997195,26,5,-0.9548497027804987,155,10,12,2016,3
3.0,0,1370000.0,1,3.3,3206.0,3.0,2.0,2.0,-0.4520541040774472,26,5,-0.9548497027804987,156,12,6,2016,3
2.0,0,1000000.0,1,3.3,3206.0,2.0,1.0,0.0,-0.214244673407735,26,5,-0.9548497027804987,157,12,11,2016,3
3.0,0,2575000.0,1,3.3,3206.0,3.0,2.0,1.0,-0.2637883047972584,26,5,-0.9548497027804987,159,15,10,2016,3
2.0,0,1322500.0,1,3.3,3206.0,2.0,1.0,0.0,-0.32902075279346416,26,5,-0.9548497027804987,160,15,10,2016,3
2.0,0,1562500.0,1,3.3,3206.0,2.0,1.0,0.0,-0.3356265703120673,26,5,-0.9548497027804987,162,15,10,2016,3
3.0,0,2000000.0,4,3.3,3206.0,3.0,2.0,1.0,-0.27782566702429,26,5,-0.9548497027804987,163,16,4,2016,3
3.0,0,1900000.0,1,3.3,3206.0,3.0,1.0,0.0,-0.2794771214039408,26,5,-0.9548497027804987,166,18,3,2017,3
3.0,0,3010000.0,1,3.3,3206.0,3.0,2.0,0.0,-0.33067220717311496,26,5,-0.9548497027804987,167,18,3,2017,3
4.0,0,2800000.0,4,3.3,3206.0,4.0,3.0,1.0,-0.18204131300454482,26,5,-0.9548497027804987,169,18,6,2016,3
2.0,2,647000.0,1,3.3,3206.0,2.0,1.0,1.0,-0.4520541040774472,26,5,-0.9548497027804987,171,22,5,2016,3
3.0,0,2100000.0,3,3.3,3206.0,2.0,1.0,1.0,-0.3529668412984005,26,5,-0.9548497027804987,173,23,4,2016,3
3.0,0,2000000.0,0,3.3,3206.0,3.0,1.0,1.0,-0.2555310328990045,26,5,-0.9548497027804987,177,24,9,2016,3
1.0,2,442500.0,1,3.3,3206.0,1.0,1.0,0.0,-0.4520541040774472,26,5,-0.9548497027804987,178,25,2,2017,3
4.0,0,4735000.0,1,3.3,3206.0,4.0,2.0,1.0,-0.17956413143506864,26,5,-0.9548497027804987,179,25,2,2017,3
2.0,0,1340000.0,1,3.3,3206.0,2.0,1.0,0.0,-0.33975520626119426,26,5,-0.9548497027804987,180,25,2,2017,3
3.0,0,1801000.0,1,3.3,3206.0,3.0,1.0,1.0,-0.2852572117327185,26,5,-0.9548497027804987,181,25,2,2017,3
3.0,0,1532000.0,1,3.3,3206.0,3.0,3.0,1.0,-0.4520541040774472,26,5,-0.9548497027804987,182,26,7,2016,3
3.0,0,3755000.0,1,3.3,3206.0,3.0,2.0,2.0,-0.1836927673841956,26,5,-0.9548497027804987,183,26,7,2016,3
4.0,0,2140000.0,1,3.3,3206.0,3.0,2.0,1.0,-0.30094602833940093,26,5,-0.9548497027804987,184,27,6,2016,3
2.0,0,1750000.0,1,3.3,3206.0,2.0,1.0,1.0,-0.3182862993257341,26,5,-0.9548497027804987,186,27,11,2016,3
2.0,0,980000.0,1,3.3,3206.0,2.0,1.0,0.0,-0.38682165608124147,26,5,-0.9548497027804987,187,28,5,2016,3
3.0,0,2030000.0,1,3.3,3206.0,3.0,2.0,0.0,-0.326543571223988,26,5,-0.9548497027804987,191,28,8,2016,3
3.0,0,1740000.0,0,3.3,3206.0,3.0,2.0,2.0,-0.33067220717311496,26,5,-0.9548497027804987,192,28,8,2016,3
3.0,0,2800000.0,4,3.3,3206.0,3.0,3.0,1.0,-0.4520541040774472,26,5,-0.9548497027804987,193,30,7,2016,3
1.0,0,985000.0,1,3.3,3206.0,1.0,1.0,0.0,-0.38517020170159066,26,5,-0.9548497027804987,194,30,7,2016,3
4.0,0,2000000.0,1,6.4,3078.0,3.0,2.0,4.0,0.2522911888436102,6,2,-1.1979046697401936,196,3,9,2016,4
3.0,0,1110000.0,1,6.4,3078.0,3.0,2.0,2.0,-0.2803028485937662,6,2,-1.1979046697401936,197,3,9,2016,4
3.0,0,1492000.0,1,6.4,3078.0,3.0,2.0,2.0,-0.11268022905921207,6,2,-1.1979046697401936,198,4,3,2017,4
4.0,0,1717500.0,1,6.4,3078.0,4.0,2.0,1.0,0.04255648262796119,6,2,-1.1979046697401936,202,8,10,2016,4
5.0,0,2840000.0,1,6.4,3078.0,5.0,4.0,4.0,0.21595919249129303,6,2,-1.1979046697401936,203,12,6,2016,4
2.0,2,525500.0,1,6.4,3078.0,2.0,1.0,1.0,-0.379390111372813,6,2,-1.1979046697401936,205,12,11,2016,4
2.0,1,805000.0,1,6.4,3078.0,2.0,2.0,3.0,-0.32406638965451184,6,2,-1.1979046697401936,206,12,11,2016,4
2.0,2,465000.0,1,6.4,3078.0,2.0,1.0,1.0,-0.4520541040774472,6,2,-1.1979046697401936,207,12,11,2016,4
3.0,0,2000000.0,0,6.4,3078.0,3.0,3.0,2.0,0.11439474814277009,6,2,-1.1979046697401936,210,15,10,2016,4
3.0,0,1540000.0,1,6.4,3078.0,3.0,1.0,2.0,0.03677639229918346,6,2,-1.1979046697401936,211,16,4,2016,4
2.0,2,820000.0,1,6.4,3078.0,2.0,1.0,1.0,-0.30094602833940093,6,2,-1.1979046697401936,214,18,3,2017,4
4.0,0,1830000.0,1,6.4,3078.0,4.0,2.0,2.0,0.04833657295673892,6,2,-1.1979046697401936,215,19,11,2016,4
4.0,0,2100000.0,1,6.4,3078.0,4.0,2.0,2.0,0.022739030072151837,6,2,-1.1979046697401936,216,19,11,2016,4
3.0,0,865000.0,3,6.4,3078.0,3.0,1.0,1.0,-0.3034232099088771,6,2,-1.1979046697401936,217,22,5,2016,4
2.0,2,390000.0,4,6.4,3078.0,2.0,1.0,1.0,-0.4520541040774472,6,2,-1.1979046697401936,218,22,5,2016,4
2.0,1,650000.0,3,6.4,3078.0,0.0,1.0,0.0,-0.4520541040774472,6,2,-1.1979046697401936,219,24,9,2016,4
2.0,2,512000.0,1,6.4,3078.0,2.0,1.0,1.0,-0.4520541040774472,6,2,-1.1979046697401936,220,25,2,2017,4
3.0,0,1165000.0,1,6.4,3078.0,3.0,1.0,2.0,0.3563328147616093,6,2,-1.1979046697401936,225,27,6,2016,4
4.0,0,1900000.0,3,6.4,3078.0,4.0,2.0,2.0,0.0070502134654694334,6,2,-1.1979046697401936,227,27,11,2016,4
3.0,0,1485000.0,3,6.4,3078.0,3.0,0.0,0.0,0.04090502824831041,6,2,-1.1979046697401936,229,28,8,2016,4
4.0,0,1950000.0,1,6.4,3078.0,4.0,2.0,3.0,0.03429921072970729,6,2,-1.1979046697401936,230,30,7,2016,4
3.0,0,520000.0,4,13.8,3018.0,3.0,2.0,1.0,-0.16139813325891006,10,6,-0.4953416688931806,231,3,9,2016,5
5.0,0,1525000.0,1,13.8,3018.0,5.0,3.0,3.0,0.14990101730526184,10,6,-0.4953416688931806,232,3,12,2016,5
2.0,1,720000.0,1,13.8,3018.0,2.0,1.0,2.0,-0.21094176464843345,10,6,-0.4953416688931806,233,4,2,2016,5
3.0,0,1120000.0,1,13.8,3018.0,3.0,1.0,2.0,-0.03423614602580005,10,6,-0.4953416688931806,234,4,3,2017,5
4.0,0,780000.0,0,13.8,3018.0,4.0,1.0,4.0,0.08879720525818302,10,6,-0.4953416688931806,235,4,6,2016,5
4.0,0,1780000.0,3,13.8,3018.0,4.0,3.0,6.0,0.42073953556798965,10,6,-0.4953416688931806,236,4,6,2016,5
3.0,2,630000.0,1,13.8,3018.0,2.0,1.0,2.0,-0.19525294804175106,10,6,-0.4953416688931806,237,6,8,2016,5
2.0,2,406000.0,3,13.8,3018.0,2.0,1.0,1.0,-0.3983818367387969,10,6,-0.4953416688931806,238,6,8,2016,5
3.0,0,660000.0,4,13.8,3018.0,3.0,1.0,1.0,0.04503366419743736,10,6,-0.4953416688931806,239,7,5,2016,5
3.0,0,683500.0,1,13.8,3018.0,3.0,1.0,1.0,-0.014418693469990699,10,6,-0.4953416688931806,240,7,11,2016,5
2.0,2,580000.0,1,13.8,3018.0,2.0,1.0,1.0,-0.2662654863667346,10,6,-0.4953416688931806,242,8,10,2016,5
3.0,0,1335000.0,1,13.8,3018.0,3.0,1.0,4.0,0.18953592241688055,10,6,-0.4953416688931806,243,8,10,2016,5
3.0,1,800000.0,3,13.8,3018.0,3.0,2.0,2.0,-0.22085049092633813,10,6,-0.4953416688931806,244,8,10,2016,5
2.0,2,510000.0,1,13.8,3018.0,2.0,1.0,1.0,-0.34718675096962276,10,6,-0.4953416688931806,245,10,9,2016,5
4.0,0,1070000.0,1,13.8,3018.0,4.0,2.0,2.0,0.1218262928511986,10,6,-0.4953416688931806,246,10,9,2016,5
2.0,2,425000.0,1,13.8,3018.0,2.0,1.0,2.0,-0.35709547724752744,10,6,-0.4953416688931806,247,10,9,2016,5
3.0,2,605000.0,1,13.8,3018.0,3.0,2.0,2.0,-0.2621368504176076,10,6,-0.4953416688931806,248,10,12,2016,5
3.0,1,705000.0,1,13.8,3018.0,3.0,2.0,2.0,-0.2893858476818455,10,6,-0.4953416688931806,249,11,2,2017,5
2.0,2,391000.0,3,13.8,3018.0,2.0,1.0,1.0,-0.4520541040774472,10,6,-0.4953416688931806,250,11,2,2017,5
2.0,2,440000.0,3,13.8,3018.0,2.0,1.0,1.0,-0.4520541040774472,10,6,-0.4953416688931806,251,11,2,2017,5
4.0,0,845000.0,1,13.8,3018.0,4.0,1.0,2.0,0.16311265234246808,10,6,-0.4953416688931806,252,11,2,2017,5
3.0,1,743000.0,3,13.8,3018.0,3.0,2.0,2.0,-0.27782566702429,10,6,-0.4953416688931806,254,12,11,2016,5
3.0,2,730000.0,3,13.8,3018.0,3.0,2.0,1.0,-0.39507892797949534,10,6,-0.4953416688931806,256,13,8,2016,5
3.0,0,635000.0,1,13.8,3018.0,3.0,1.0,4.0,0.06402538956342133,10,6,-0.4953416688931806,258,14,5,2016,5
2.0,2,620000.0,3,13.8,3018.0,2.0,1.0,1.0,-0.3133319361867818,10,6,-0.4953416688931806,259,14,5,2016,5
2.0,2,447000.0,1,13.8,3018.0,2.0,1.0,1.0,-0.33892947907136883,10,6,-0.4953416688931806,260,15,10,2016,5
3.0,2,730000.0,3,13.8,3018.0,3.0,2.0,1.0,-0.39425320078966997,10,6,-0.4953416688931806,261,16,4,2016,5
3.0,0,678000.0,1,13.8,3018.0,3.0,1.0,2.0,0.04833657295673892,10,6,-0.4953416688931806,262,16,4,2016,5
2.0,2,580000.0,0,13.8,3018.0,2.0,2.0,1.0,-0.30755184585800405,10,6,-0.4953416688931806,263,16,7,2016,5
3.0,0,712000.0,1,13.8,3018.0,3.0,1.0,2.0,-0.15231513417083078,10,6,-0.4953416688931806,264,17,9,2016,5
3.0,0,840000.0,3,13.8,3018.0,3.0,2.0,2.0,-0.01111578471068914,10,6,-0.4953416688931806,265,18,3,2017,5
3.0,0,980000.0,1,13.8,3018.0,3.0,1.0,2.0,0.1457723813561349,10,6,-0.4953416688931806,266,19,11,2016,5
3.0,1,605100.0,1,13.8,3018.0,3.0,2.0,0.0,-0.23323639877371896,10,6,-0.4953416688931806,268,22,5,2016,5
3.0,0,880000.0,0,13.8,3018.0,3.0,3.0,1.0,0.024390484451802617,10,6,-0.4953416688931806,269,22,8,2016,5
3.0,2,577000.0,1,13.8,3018.0,3.0,2.0,1.0,-0.2827800301632424,10,6,-0.4953416688931806,270,23,4,2016,5
4.0,0,1030000.0,1,13.8,3018.0,4.0,1.0,0.0,0.20605046621338835,10,6,-0.4953416688931806,272,25,2,2017,5
3.0,2,605000.0,1,13.8,3018.0,3.0,1.0,2.0,-0.30259748271905174,10,6,-0.4953416688931806,273,25,2,2017,5
3.0,0,753000.0,1,13.8,3018.0,3.0,2.0,2.0,-0.015244420659816089,10,6,-0.4953416688931806,276,27,6,2016,5
2.0,0,857000.0,3,13.8,3018.0,2.0,2.0,1.0,0.1053117490546908,10,6,-0.4953416688931806,277,27,11,2016,5
3.0,0,1500000.0,1,13.8,3018.0,3.0,1.0,1.0,0.3150464552703398,10,6,-0.4953416688931806,278,28,5,2016,5
3.0,2,730000.0,3,13.8,3018.0,3.0,2.0,1.0,-0.39425320078966997,10,6,-0.4953416688931806,279,28,5,2016,5
3.0,0,900000.0,1,13.8,3018.0,3.0,1.0,4.0,0.12347774723084938,10,6,-0.4953416688931806,280,28,5,2016,5
3.0,0,740000.0,1,13.8,3018.0,3.0,1.0,2.0,0.04668511857708814,10,6,-0.4953416688931806,281,28,8,2016,5
4.0,0,931000.0,1,13.8,3018.0,4.0,2.0,3.0,-0.01276723909033992,10,6,-0.4953416688931806,282,28,8,2016,5
2.0,0,535600.0,3,13.8,3018.0,2.0,1.0,1.0,-0.3248921168443372,10,6,-0.4953416688931806,283,30,7,2016,5
5.0,0,1085000.0,1,11.1,3025.0,5.0,3.0,6.0,0.03677639229918346,10,6,-0.5337666356061725,285,3,9,2016,3
3.0,0,781000.0,1,11.1,3025.0,3.0,1.0,2.0,-0.01194151190051453,10,6,-0.5337666356061725,286,3,9,2016,3
3.0,0,750000.0,3,11.1,3025.0,3.0,1.0,3.0,0.005398759085818654,10,6,-0.5337666356061725,289,4,3,2017,3
2.0,1,421000.0,1,11.1,3025.0,2.0,1.0,1.0,-0.3884731104608922,10,6,-0.5337666356061725,290,4,3,2017,3
3.0,0,1405000.0,1,11.1,3025.0,3.0,1.0,3.0,0.08879720525818302,10,6,-0.5337666356061725,291,4,3,2017,3
3.0,0,683000.0,1,11.1,3025.0,3.0,1.0,2.0,-0.01111578471068914,10,6,-0.5337666356061725,293,4,6,2016,3
3.0,0,623000.0,1,11.1,3025.0,3.0,1.0,3.0,-0.006161421571736801,10,6,-0.5337666356061725,295,4,6,2016,3
3.0,0,720000.0,4,11.1,3025.0,3.0,2.0,1.0,-0.4520541040774472,10,6,-0.5337666356061725,296,6,8,2016,3
3.0,0,588000.0,1,11.1,3025.0,3.0,1.0,1.0,-0.18121558581471942,10,6,-0.5337666356061725,300,7,5,2016,3
3.0,0,710000.0,0,11.1,3025.0,3.0,1.0,3.0,-0.006161421571736801,10,6,-0.5337666356061725,302,7,11,2016,3
4.0,0,875000.0,3,11.1,3025.0,3.0,1.0,4.0,0.009527395034945603,10,6,-0.5337666356061725,307,8,10,2016,3
3.0,0,700000.0,4,11.1,3025.0,3.0,1.0,3.0,0.005398759085818654,10,6,-0.5337666356061725,311,10,12,2016,3
2.0,1,640000.0,1,11.1,3025.0,2.0,1.0,1.0,-0.24397085224144904,10,6,-0.5337666356061725,314,11,3,2017,3
