Suburb,Address,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,HouseID,DaySold,MonthSold,YearSold,Schools nearby
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019.0,36,16,7,2016,2
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0,38,17,9,2016,2
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019.0,39,18,3,2017,2
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019.0,43,18,6,2016,2
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0,44,18,6,2016,2
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0,45,19,11,2016,2
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0,50,22,8,2016,2
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0,52,22,8,2016,2
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0,57,25,2,2017,2
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0,58,26,7,2016,2
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019.0,59,27,11,2016,2
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019.0,60,27,11,2016,2
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019.0,62,28,5,2016,2
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019.0,64,30,7,2016,2
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464.0,67,3,9,2016,4
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,68,3,12,2016,4
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,69,4,3,2017,4
Airport West,23 Hart St,2,h,603000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464.0,71,4,3,2017,4
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0,72,4,3,2017,4
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0,73,4,3,2017,4
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464.0,74,4,3,2017,4
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464.0,82,7,5,2016,4
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464.0,83,7,5,2016,4
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464.0,84,7,11,2016,4
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464.0,86,10,9,2016,4
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464.0,87,10,9,2016,4
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0,89,10,12,2016,4
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464.0,91,11,2,2017,4
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464.0,99,15,10,2016,4
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464.0,101,16,4,2016,4
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464.0,104,16,7,2016,4
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464.0,105,16,7,2016,4
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464.0,107,17,9,2016,4
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464.0,109,18,3,2017,4
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464.0,110,18,3,2017,4
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464.0,113,18,6,2016,4
Airport West,37 North St,3,t,825000.0,SP,Barry,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464.0,114,19,11,2016,4
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0,115,22,5,2016,4
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0,130,27,11,2016,4
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0,134,3,9,2016,3
Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280.0,136,4,3,2017,3
Albert Park,94 Graham St,3,h,1850000.0,S,Greg,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280.0,137,4,3,2017,3
Albert Park,396 Montague St,2,h,1436000.0,S,RT,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0,139,4,3,2017,3
Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280.0,143,7,5,2016,3
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0,146,7,11,2016,3
Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280.0,148,10,9,2016,3
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0,150,10,9,2016,3
Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0,153,10,12,2016,3
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0,156,12,6,2016,3
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0,160,15,10,2016,3
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0,162,15,10,2016,3
Albert Park,86 Mills St,3,h,2000000.0,VB,RT,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280.0,163,16,4,2016,3
Albert Park,97 Page St,3,h,3010000.0,S,Greg,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280.0,167,18,3,2017,3
Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280.0,169,18,6,2016,3
Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280.0,173,23,4,2016,3
Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280.0,177,24,9,2016,3
Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280.0,178,25,2,2017,3
Albert Park,115 Page St,4,h,4735000.0,S,Marshall,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280.0,179,25,2,2017,3
Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280.0,184,27,6,2016,3
Albert Park,6 Brooke St,2,h,980000.0,S,Greg,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280.0,187,28,5,2016,3
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0,192,28,8,2016,3
Albert Park,9 Durham St,1,h,985000.0,S,Marshall,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280.0,194,30,7,2016,3
Alphington,6 Smith St,4,h,2000000.0,S,Brace,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211.0,196,3,9,2016,4
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211.0,202,8,10,2016,4
Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,6.4,3078.0,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211.0,203,12,6,2016,4
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211.0,205,12,11,2016,4
Alphington,4/2 Miller St,2,t,805000.0,S,Miles,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211.0,206,12,11,2016,4
Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211.0,215,19,11,2016,4
Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,2211.0,216,19,11,2016,4
Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211.0,217,22,5,2016,4
Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211.0,218,22,5,2016,4
Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin City Council,-37.7805,145.0262,Northern Metropolitan,2211.0,220,25,2,2017,4
Alphington,11 Margaret Gr,4,h,1900000.0,SP,McGrath,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,Darebin City Council,-37.7844,145.0225,Northern Metropolitan,2211.0,227,27,11,2016,4
Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin City Council,-37.7719,145.0309,Northern Metropolitan,2211.0,230,30,7,2016,4
Altona,158 Queen St,3,h,520000.0,VB,Greg,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301.0,231,3,9,2016,5
Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay City Council,-37.8721,144.8105,Western Metropolitan,5301.0,232,3,12,2016,5
Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay City Council,-37.8687,144.8197,Western Metropolitan,5301.0,233,4,2,2016,5
Altona,4 Blyth St,3,h,1120000.0,S,Barlow,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay City Council,-37.8693,144.8375,Western Metropolitan,5301.0,234,4,3,2017,5
Altona,29 Rose St,4,h,1780000.0,SP,Greg,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay City Council,-37.8681,144.819,Western Metropolitan,5301.0,236,4,6,2016,5
Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay City Council,-37.8702,144.8143,Western Metropolitan,5301.0,237,6,8,2016,5
Altona,156 Maidstone St,3,h,660000.0,VB,Greg,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay City Council,-37.8616,144.8116,Western Metropolitan,5301.0,239,7,5,2016,5
Altona,1/136 Queen St,2,u,580000.0,S,Barlow,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay City Council,-37.8696,144.827,Western Metropolitan,5301.0,242,8,10,2016,5
Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay City Council,-37.8697,144.8249,Western Metropolitan,5301.0,243,8,10,2016,5
Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay City Council,-37.8686,144.8182,Western Metropolitan,5301.0,245,10,9,2016,5
Altona,4/5 Rose St,2,u,425000.0,S,hockingstuart,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay City Council,-37.871,144.8185,Western Metropolitan,5301.0,247,10,9,2016,5
Altona,4/31 Millers Rd,2,u,391000.0,SP,Greg,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay City Council,-37.8678,144.8384,Western Metropolitan,5301.0,250,11,2,2017,5
Altona,24 Wren St,4,h,845000.0,S,hockingstuart,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay City Council,-37.8658,144.8155,Western Metropolitan,5301.0,252,11,2,2017,5
Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay City Council,-37.868,144.8286,Western Metropolitan,5301.0,256,13,8,2016,5
Altona,3/46 Sargood St,2,u,447000.0,S,Burnham,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay City Council,-37.8655,144.8299,Western Metropolitan,5301.0,260,15,10,2016,5
Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay City Council,-37.8608,144.8124,Western Metropolitan,5301.0,262,16,4,2016,5
Altona,5/8 David St,2,u,580000.0,PI,Biggin,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay City Council,-37.8687,144.8268,Western Metropolitan,5301.0,263,16,7,2016,5
Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay City Council,-37.86,144.8245,Western Metropolitan,5301.0,265,18,3,2017,5
Altona,3/20 Mulga St,3,u,577000.0,S,Williams,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay City Council,-37.8684,144.815,Western Metropolitan,5301.0,270,23,4,2016,5
Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301.0,277,27,11,2016,5
Altona,5/57 Blyth St,3,u,730000.0,SP,Barlow,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay City Council,-37.868,144.8285,Western Metropolitan,5301.0,279,28,5,2016,5
Altona,2/60 David St,2,h,535600.0,SP,Compton,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay City Council,-37.8646,144.8272,Western Metropolitan,5301.0,283,30,7,2016,5
Altona North,45 Hearn St,5,h,1085000.0,S,FN,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132.0,285,3,9,2016,3
Altona North,4 Knapp St,3,h,781000.0,S,Jas,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,5132.0,286,3,9,2016,3
Altona North,3/66 Marion St,2,t,421000.0,S,hockingstuart,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay City Council,-37.8351,144.8529,Western Metropolitan,5132.0,290,4,3,2017,3
Altona North,33 Carthy St,3,h,683000.0,S,FN,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan,5132.0,293,4,6,2016,3
Altona North,1/5 Little St,3,h,720000.0,VB,Greg,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay City Council,-37.8379,144.8583,Western Metropolitan,5132.0,296,6,8,2016,3
Altona North,1/95 Mills St,3,h,588000.0,S,Williams,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay City Council,-37.838,144.8555,Western Metropolitan,5132.0,300,7,5,2016,3
Altona North,5 Binns St,3,h,710000.0,PI,Village,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay City Council,-37.8294,144.8378,Western Metropolitan,5132.0,302,7,11,2016,3
Altona North,25 Allan St,4,h,875000.0,SP,Jas,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay City Council,-37.8448,144.8529,Western Metropolitan,5132.0,307,8,10,2016,3
Altona North,2/36 May St,3,h,675000.0,S,hockingstuart,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay City Council,-37.8337,144.8554,Western Metropolitan,5132.0,322,14,5,2016,3
Altona North,11 Beevers St,3,h,708000.0,S,Greg,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay City Council,-37.8258,144.8523,Western Metropolitan,5132.0,323,15,10,2016,3
Altona North,252 Millers Rd,4,h,693000.0,SP,Raine&Horne,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay City Council,-37.8391,144.8467,Western Metropolitan,5132.0,340,22,5,2016,3
Altona North,1/156 Chambers Rd,3,h,620000.0,SP,Hunter,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay City Council,-37.8262,144.8443,Western Metropolitan,5132.0,341,22,8,2016,3
Altona North,2 Gadsden St,3,h,728500.0,S,Jas,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay City Council,-37.8277,144.8385,Western Metropolitan,5132.0,343,22,8,2016,3
Altona North,24 Hansen St,3,h,931000.0,S,hockingstuart,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay City Council,-37.8382,144.8649,Western Metropolitan,5132.0,344,22,8,2016,3
Altona North,6 Hill St,3,h,815000.0,S,hockingstuart,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay City Council,-37.8318,144.8388,Western Metropolitan,5132.0,350,25,2,2017,3
Altona North,5 Cresser St,4,h,1200000.0,SP,RT,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay City Council,-37.8375,144.8541,Western Metropolitan,5132.0,357,27,11,2016,3
Altona North,4/221 Blackshaws Rd,2,u,292000.0,S,Jas,11.1,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay City Council,-37.8332,144.8649,Western Metropolitan,5132.0,362,28,8,2016,3
